City,Cloudiness (%),Humidity (%),Latitude,Longitude,Temperature (F),Wind Speed (mph)
Lashio,0,57,22.93,-68.31,63.16,3.85
Karema,68,57,-6.82,-68.31,66.49,5.35
Hirara,88,57,24.8,-68.31,68.56,43.13
Port Hedland,20,57,-20.31,-68.31,77.0,15.5
Mengcheng,0,57,33.26,-68.31,42.64,5.61
Klaksvik,88,57,62.23,-68.31,46.4,36.04
Ishigaki,92,57,24.34,-68.31,69.64,45.88
Bandarbeyla,0,57,9.49,-68.31,83.86,16.62
Fort-Shevchenko,24,57,44.51,-68.31,44.44,17.87
Rio Grande,75,57,-32.03,-68.31,75.2,31.03
Sosnovo-Ozerskoye,64,57,52.53,-68.31,29.5,27.87
Veraval,0,57,20.9,-68.31,80.98,27.63
Stykkisholmur,80,57,65.08,-68.31,44.8,19.13
Merauke,0,57,-8.49,-68.31,78.19,24.11
Giresun,0,57,40.91,-68.31,38.41,2.59
Kalol,20,57,23.25,-68.31,91.4,7.52
Vanavara,48,57,60.35,-68.31,27.88,14.12
Haapsalu,0,57,58.95,-68.31,44.53,14.36
Polyarnyy,0,57,69.2,-68.31,37.4,15.01
Charters Towers,0,57,-20.07,-68.31,66.67,12.37
Saskylakh,0,57,71.97,-68.31,9.7,24.63
Port Blair,80,57,11.67,-68.31,84.58,11.36
Maltahohe,48,57,-24.83,-68.31,64.6,2.59
Biak,80,57,-0.91,-68.31,76.12,7.85
Alofi,0,57,-19.06,-68.31,71.6,15.5
Mae Sot,0,57,16.72,-68.31,75.31,4.61
Tual,24,57,-5.67,-68.31,82.96,19.13
Maniitsoq,20,57,65.42,-68.31,19.51,23.62
Den Helder,90,57,52.96,-68.31,54.63,5.01
Faanui,20,57,-16.48,-68.31,82.69,28.36
Gazli,0,57,40.13,-68.31,55.33,22.37
Takoradi,44,57,4.89,-68.31,83.05,21.88
Hereford,40,57,52.06,-68.31,55.4,31.03
Urupes,75,57,-21.2,-68.31,73.4,13.02
Kadoma,20,57,-18.34,-68.31,73.33,31.38
Sayat,75,57,38.78,-68.31,62.6,10.51
Yashan,24,57,30.81,-68.31,40.75,4.36
Pitimbu,75,57,-7.47,-68.31,82.4,36.04
Tuatapere,64,57,-46.13,-68.31,55.78,38.14
Bugiri,48,57,0.57,-68.31,67.48,7.11
Vaitape,36,57,-16.52,-68.31,82.96,30.62
Cherskiy,44,57,68.75,-68.31,13.21,5.35
Lindenhurst,90,57,42.41,-68.31,32.5,43.53
Axim,24,57,4.87,-68.31,82.6,22.86
Santa Marta,40,57,11.24,-68.31,87.8,20.51
Hobart,20,57,-42.88,-68.31,55.4,46.53
Komsomolskiy,68,57,67.55,-68.31,12.13,30.13
Salalah,40,57,17.01,-68.31,84.2,18.01
Nemuro,68,57,43.32,-68.31,34.36,64.65
San Jose,100,57,16.98,-68.31,78.28,17.36
Bathsheba,20,57,13.22,-68.31,84.2,49.03
Ponta do Sol,0,57,17.2,-68.31,69.28,36.13
Kiama,75,57,-34.67,-68.31,66.2,18.01
Champerico,40,57,14.3,-68.31,86.0,10.51
Bosaso,8,57,11.28,-68.31,80.98,12.37
Noormarkku,48,57,61.59,-68.31,46.4,7.52
Acari,0,57,-15.44,-68.31,77.65,6.85
Tiarei,75,57,-17.53,-68.31,75.2,7.52
Tommot,32,57,58.97,-68.31,27.07,8.86
Kuching,75,57,1.56,-68.31,78.8,5.01
Innisfail,76,57,-17.52,-68.31,70.45,13.35
Jamestown,100,57,-15.94,-68.31,74.23,24.63
Boulsa,8,57,12.66,-68.31,92.86,9.1
Xochitlan,0,57,18.7,-68.31,76.3,18.37
San Vicente,92,57,14.11,-68.31,82.69,28.36
Bandar-e Lengeh,0,57,26.56,-68.31,78.8,31.03
Brownsville,5,57,25.91,-68.31,75.2,18.01
Barrow,90,57,39.51,-68.31,39.2,28.52
Sioux Lookout,75,57,50.1,-68.31,23.76,20.51
Avarua,40,57,-21.21,-68.31,75.2,18.01
Joshimath,20,57,30.57,-68.31,15.19,2.59
Northam,68,57,-31.65,-68.31,69.8,33.53
Fortuna,90,57,40.6,-68.31,51.98,36.04
Sistranda,0,57,63.73,-68.31,60.8,25.52
Saquena,44,57,-4.67,-68.31,83.86,9.35
Igarka,88,57,67.47,-68.31,21.58,14.12
Souillac,75,57,-20.52,-68.31,80.6,33.53
Abu Dhabi,0,57,24.47,-68.31,80.6,10.51
Chuy,56,57,-33.69,-68.31,73.15,30.62
Anchorage,1,57,61.22,-68.31,30.79,5.61
Bredasdorp,0,57,-34.53,-68.31,66.2,25.52
