,Media,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
0,BBC,Wed Mar 07 19:12:02 +0000 2018,"'Harry was looking at his family for the first time in his life'. 

💛⚡️✨ David Thewlis reading #HarryPotter is trul… https://t.co/wAyCDFvrX2",0.0,0.0,0.0,1.0,100
1,BBC,Wed Mar 07 18:23:04 +0000 2018,"✂️ ‘My hair is a symbol of pride.’

💇🏽💇🏿💇🏾 Six stories about black women's hair.
👉 https://t.co/NfNvGpKpVi https://t.co/V1qrRJzwfu",0.0,0.0,0.0,1.0,99
2,BBC,Wed Mar 07 17:42:01 +0000 2018,The little mouse that inspired Pikachu is actually a rabbit! https://t.co/AxOQOaK4dS,0.4987,0.264,0.0,0.736,98
3,BBC,Wed Mar 07 17:27:29 +0000 2018,"RT @BBCTwo: If you haven't seen #ACSVersace yet, Penélope Cruz as Donatella Versace is everything... https://t.co/lH9kfRGqO2",0.0,0.0,0.0,1.0,97
4,BBC,Wed Mar 07 17:22:51 +0000 2018,"RT @BBCBreakfast: In many ways Hedy Lamarr was the archetypal Hollywood starlet, but the Austrian born actress was also an inventor and the…",0.0,0.0,0.0,1.0,96
5,BBC,Wed Mar 07 17:22:23 +0000 2018,RT @BBCScotlandNews: A Scottish school has won a prestigious award for its pioneering work helping children with their reading and writing…,0.8555,0.37,0.0,0.63,95
6,BBC,Wed Mar 07 17:16:45 +0000 2018,RT @bbceurovision: A storm is coming.@surieofficial  ⛈ 👉 https://t.co/LYIiBgcZdA https://t.co/heOKLnjo2N,0.0,0.0,0.0,1.0,94
7,BBC,Wed Mar 07 17:14:49 +0000 2018,RT @BBCTwo: Nostalgia heaven! How many of these 80s &amp; 90s things can you remember? 🤔 #BackInTimeForTea https://t.co/l0R6nHrTj1,0.5562,0.183,0.0,0.817,93
8,BBC,Wed Mar 07 17:13:49 +0000 2018,"📖 Time to 'embiggen' your vocabulary.

A new word, first heard on @TheSimpsons in 1996, has been added to the… https://t.co/qGvkGgjAcB",0.0,0.0,0.0,1.0,92
9,BBC,Wed Mar 07 16:15:06 +0000 2018,RT @bbccomedy: WOOF! ❤️#RikMayallDay https://t.co/ioJtvYVFRO,0.0,0.0,0.0,1.0,91
10,BBC,Wed Mar 07 14:30:03 +0000 2018,😱 The most hardcore baptism you’ll ever see. https://t.co/aEsVqMUPQ2,0.0,0.0,0.0,1.0,90
